id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,price_lower,price_upper,price_range,price_mid
"144554","11","12","1","123512.74132","253180.195535","251425.034548","125120.700822","376692.936855","163.8615153018242","0.04","0.54","1.0011","1.0012","0.0001","1.0012"
"73903","1","3","2","340149.166443","48823.342788","388967.014741","0","388972.50923100003","162.32882027070616","0.03","0.42","1.0001","1.0003","0.0002","1.0002"
"110144","-1","0","1","323465.854641","71731.646251","395204.022996","0","395197.500892","161.79622596066358","0.04","0.45","0.9999","1.0000","0.0001","1.0000"
"151439","9","10","1","347402.771586","11562.052553","358954.383716","0","358964.824139","161.60985533277596","0.05","0.57","1.0009","1.0010","0.0001","1.0010"
"153600","3","7","4","1645346.787597","1000571.763511","425639.652287","2220941.869291","2645918.551108","160.69931830732403","0.01","0.08","1.0003","1.0007","0.0004","1.0005"
"110095","-1","0","1","262993.446539","99569.362932","362571.399067","0","362562.80947100004","157.00302638869636","0.04","0.48","0.9999","1.0000","0.0001","1.0000"
"110550","-1","0","1","489274.406173","36469.60641","525747.530547","0","525744.012583","156.47662694765256","0.03","0.33","0.9999","1.0000","0.0001","1.0000"
"66639","3","4","1","22325.267494","233980.830026","0","256314.924878","256306.09752","155.3077570719012","0.05","0.60","1.0003","1.0004","0.0001","1.0004"
"113602","-3","-2","1","165890.407948","159830.629298","0","325683.640845","325721.037246","155.2443187041349","0.04","0.54","0.9997","0.9998","0.0001","0.9998"
"101047","1","2","1","65283.545968","100006.564551","165277.086165","0","165290.110519","154.73206458343526","0.08","1.00","1.0001","1.0002","0.0001","1.0002"
"120911","-2","-1","1","167014.127097","455678.305209","5617.879571","617056.178068","622692.432306","152.49260034248547","0.02","0.28","0.9998","0.9999","0.0001","0.9999"
"113037","-3","-2","1","67957.060567","199936.471167","32501.244208","235384.53293","267893.531734","150.88531927383096","0.05","0.63","0.9997","0.9998","0.0001","0.9998"
"169611","2","3","1","28403.493766","132350.750253","160722.331275","0","160754.244019","147.35783075430768","0.10","1.25","1.0002","1.0003","0.0001","1.0003"
"110067","-1","0","1","64967.476449","259272.637226","324255.506875","0","324240.113675","146.91070084909103","0.04","0.50","0.9999","1.0000","0.0001","1.0000"
"172354","1","2","1","0","198438.984711","0","198438.98471","198438.984711","146.8268619578909","0.08","1.02","1.0001","1.0002","0.0001","1.0002"
"183950","1","2","1","320386.979059","10972.741972","0","331408.310736","331359.72103099996","146.31356449825017","0.05","0.64","1.0001","1.0002","0.0001","1.0002"
"205633","2","3","1","166603.951516","33316.070236","199913.082059","0","199920.021752","146.28687435209753","0.09","1.15","1.0002","1.0003","0.0001","1.0003"
"91137","-4","-3","1","108660.59164","92964.556837","0","201589.630367","201625.148477","143.97960802018167","0.06","0.75","0.9996","0.9997","0.0001","0.9997"
"72100","0","5","5","254476.403925","145511.813628","399974.966114","0","399988.21755299997","142.5381501616965","0.03","0.36","1.0000","1.0005","0.0005","1.0003"
"120754","-2","-1","1","175181.70609","376127.312957","0","551288.719867","551309.019047","142.35347839095297","0.02","0.30","0.9998","0.9999","0.0001","0.9999"
"192432","5","6","1","84100.208006","76754.825597","160814.773792","0","160855.033603","141.98838703684717","0.11","1.32","1.0005","1.0006","0.0001","1.0006"
"171411","2","3","1","32990.745898","147734.685507","180689.852511","0","180725.43140499998","141.4295781707722","0.09","1.08","1.0002","1.0003","0.0001","1.0003"
"72397","1","3","2","230034.386641","255066.834343","430815.761041","54252.579336","485101.220984","137.52724038365847","0.02","0.28","1.0001","1.0003","0.0002","1.0002"
"45930","-3","-2","1","13137.919365","19869.399941","10882.184281","22124.591892","33007.319306","135.81405175522036","0.30","3.62","0.9997","0.9998","0.0001","0.9998"
"39368","-3","-2","1","64308.278793","17174.684625","81487.935255","0","81482.963418","134.32194609422984","0.12","1.40","0.9997","0.9998","0.0001","0.9998"
"194464","5","6","1","60282.660005","139702.270274","199910.224136","0","199984.93027900002","130.90036309950995","0.08","0.99","1.0005","1.0006","0.0001","1.0006"
"84749","-2","-1","1","424980","242124.166457","0","667048.139005","667104.166457","130.5810097891685","0.02","0.20","0.9998","0.9999","0.0001","0.9999"
"67548","4","5","1","29269.738531","260968.602225","0","290252.828062","290238.340756","130.33782639015217","0.04","0.44","1.0004","1.0005","0.0001","1.0005"
"116158","-3","-2","1","292512.850576","228026.43633","0","520472.577428","520539.286906","128.10642638820366","0.02","0.28","0.9997","0.9998","0.0001","0.9998"
"141098","4","5","1","1206034.888999","249854.185382","0","1456442.233956","1455889.074381","127.52314358132557","0.01","0.11","1.0004","1.0005","0.0001","1.0005"
"113042","-3","-2","1","76653.028948","149949.820044","27491.26286","199100.626015","226602.84899199998","127.35053462269991","0.05","0.63","0.9997","0.9998","0.0001","0.9998"
"114861","-3","-2","1","219514.025072","155817.453856","0","375281.165902","375331.47892799997","125.11178275461938","0.03","0.38","0.9997","0.9998","0.0001","0.9998"
"66393","2","4","2","81547.62432","146105.272135","0","227681.382956","227652.896455","123.22736762423663","0.04","0.53","1.0002","1.0004","0.0002","1.0003"
"42432","-4","-3","1","54582.054078","2596.949948","0","57160.014948","57179.004026","122.26538936315127","0.15","1.85","0.9996","0.9997","0.0001","0.9997"
"134540","12","13","1","5539.864427","151237.903765","156589.115543","0","156777.768192","122.22206871935445","0.08","0.94","1.0012","1.0013","0.0001","1.0013"
"127218","1","2","1","229306.419823","441436.926374","134182.266314","536576.623102","670743.346197","121.94296304917569","0.02","0.21","1.0001","1.0002","0.0001","1.0002"
"67553","4","5","1","32369.083368","169413.657542","201707.883843","0","201782.74091","121.20688460033624","0.05","0.59","1.0004","1.0005","0.0001","1.0005"
"96983","-4","-3","1","330782.676622","464276.122","0","794952.706455","795058.798622","121.10490120478684","0.01","0.16","0.9996","0.9997","0.0001","0.9997"
"73138","1","3","2","201513.66025","51309.904716","252817.390175","0","252823.56496599998","120.63737241546772","0.04","0.48","1.0001","1.0003","0.0002","1.0002"
"45937","-3","-2","1","15109.042618","27888.264325","7361.461286","35634.13318","42997.306943","117.89366075862169","0.20","2.41","0.9997","0.9998","0.0001","0.9998"
"88156","-3","-2","1","171734.432674","152208.352871","323984.875442","0","323942.785545","117.83328971406726","0.03","0.38","0.9997","0.9998","0.0001","0.9998"
"192487","5","6","1","81938.951371","58792.864988","99063.547377","41659.709345","140731.816359","116.55154161764263","0.10","1.24","1.0005","1.0006","0.0001","1.0006"
"73892","1","2","1","104111.345382","36060.59538","140167.871081","0","140171.94076199998","115.50254162231354","0.07","0.83","1.0001","1.0002","0.0001","1.0002"
"81851","-2","-1","1","150010.249913","93260.203913","243287.318763","0","243270.453826","113.7611290539463","0.04","0.48","0.9998","0.9999","0.0001","0.9999"
"39257","-4","1","5","27599.665065","13355.172618","13345.428648","27608.359174","40954.837683000005","113.19316011210014","0.19","2.35","0.9996","1.0001","0.0005","0.9999"
"143627","12","13","1","851178.386655","604502.203496","1454943.121596","0","1455680.590151","112.71712364086669","0.01","0.10","1.0012","1.0013","0.0001","1.0013"
"45155","-4","-2","2","269375.952073","216004.843942","139905.17293","345438.779836","485380.796015","111.91387121099658","0.02","0.20","0.9996","0.9998","0.0002","0.9997"
