id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	price_lower	price_upper	price_range	price_mid
204693	2	3	1	7189.193771	27094.957551	34277.662826	0.0	34284.151322	36.2336	0.14	1.66	1.0002	1.0003	0.0001	1.0003
204679	2	3	1	6293.051822	23717.537378	30004.909503	0.0	30010.5892	32.029524	0.14	1.67	1.0002	1.0003	0.0001	1.0003
128052	1	2	1	648.934488	8625.999989	9273.670913	0.0	9274.934477	13.631977	0.14	1.73	1.0001	1.0002	0.0001	1.0002
204680	2	3	1	1467.999928	5532.664302	6999.339309	0.0	7000.66423	7.461096	0.14	1.67	1.0002	1.0003	0.0001	1.0003
46500	-3	-2	1	1606.001061	1999.305131	1000.409867	2604.753342	3605.306192	6.836226	0.14	1.67	0.9997	0.9998	0.0001	0.9998
204684	2	3	1	795.901244	2999.628484	3794.811399	0.0	3795.529728	4.033433	0.14	1.67	1.0002	1.0003	0.0001	1.0003
53760	-3	-2	1	148.989587	349.929639	137.736457	361.180195	498.919226	0.890928	0.14	1.66	0.9997	0.9998	0.0001	0.9998
43741	-5	-4	1	348.765299	84.914506	0.0	433.526317	433.679805	0.852267	0.14	1.7	0.9995	0.9996	0.0001	0.9996
67602	3	8	5	73.413205	45.0	118.395435	0.0	118.413205	0.202218	0.14	1.69	1.0003	1.0008	0.0005	1.0006
39277	-3	-2	1	34.298942	50.982629	85.295341	0.0	85.281571	0.167908	0.14	1.67	0.9997	0.9998	0.0001	0.9998
171512	2	4	2	65.550257	45.324667	0.0	0.0	110.874924	0.135301	0.14	1.68	1.0002	1.0004	0.0002	1.0003
204720	2	3	1	25095.346581	75620.635517	100698.022273	0.0	100715.982098	104.548252	0.13	1.63	1.0002	1.0003	0.0001	1.0003
43002	-5	-4	1	45350.71139	4949.158725	0.0	50279.686038	50299.870115	95.040664	0.13	1.64	0.9995	0.9996	0.0001	0.9996
191950	5	6	1	45976.418413	37702.09696	83658.821359	0.0	83678.515373	85.827413	0.13	1.53	1.0005	1.0006	0.0001	1.0006
191905	5	6	1	23593.032786	34892.823951	58467.375519	0.0	58485.856737	63.396453	0.13	1.62	1.0005	1.0006	0.0001	1.0006
204723	2	3	1	16069.499104	44007.862551	60066.949037	0.0	60077.361655	61.85077	0.13	1.61	1.0002	1.0003	0.0001	1.0003
54058	-3	-2	1	9865.880799	23577.676035	6488.087451	26954.758861	33443.556834	55.830227	0.13	1.55	0.9997	0.9998	0.0001	0.9998
191927	5	6	1	20051.585364	29655.214079	49691.09236	0.0	49706.799443	52.269645	0.13	1.57	1.0005	1.0006	0.0001	1.0006
43792	-5	-4	1	23432.119691	2964.513551	0.0	26386.223255	26396.633242	49.523776	0.13	1.63	0.9995	0.9996	0.0001	0.9996
191911	5	6	1	13833.991217	20459.727431	34282.882016	0.0	34293.718648	36.758257	0.13	1.6	1.0005	1.0006	0.0001	1.0006
204746	2	3	1	6631.676109	13340.777015	19780.569131	188.806452	19972.453124	19.397295	0.13	1.52	1.0002	1.0003	0.0001	1.0003
