id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_est_30d	price_lower	price_upper	price_range	price_mid
311875.0	0.0	2.0	2.0	75.956	48.0037	123.958	0.0	123.96	-0.00186	-0.0182559	1.0	1.0002	0.00020001	1.0001
311903.0	0.0	1.0	1.0	14979.7	52547.6	0.0	67528.6	67527.3	1.33121	0.023985	1.0	1.0001	0.0001	1.00005
311922.0	0.0	1.0	1.0	9200.35	32817.3	0.0	42018.4	42017.6	0.819298	0.0237237	1.0	1.0001	0.0001	1.00005
311929.0	0.0	1.0	1.0	44775.4	208215.0	0.0	252994.0	252990.0	4.08127	0.0196274	1.0	1.0001	0.0001	1.00005
311966.0	1.0	2.0	1.0	3320.59	0.0	0.0	0.0	3320.59	-3320.59	-1216.67	1.0001	1.0002	0.00010001	1.00015
312022.0	0.0	1.0	1.0	15700.9	84096.3	0.0	99798.7	99797.2	1.44657	0.0176357	1.0	1.0001	0.0001	1.00005
312115.0	0.0	2.0	2.0	113.591	82.7136	196.301	0.0	196.305	-0.003485	-0.0215995	1.0	1.0002	0.00020001	1.0001
312162.0	0.0	1.0	1.0	14658.1	85114.7	0.0	99774.2	99772.8	1.35812	0.0165615	1.0	1.0001	0.0001	1.00005
312193.0	0.0	1.0	1.0	1.46041	8.53911	0.0	9.99965	9.99952	0.000134	0.0163041	1.0	1.0001	0.0001	1.00005
312333.0	-4.0	6.0	10.0	999.092	942.202	1044.62	896.673	1941.29	-0.003352	-0.0021008	0.9996	1.0006	0.00100005	1.0001
312354.0	0.0	1.0	1.0	11375.1	68635.8	0.0	80012.0	80011.0	1.05664	0.0160676	1.0	1.0001	0.0001	1.00005
312380.0	-1.0	1.0	2.0	569.154	7437.39	8006.6	0.0	8006.55	0.052868	0.00803377	0.9999	1.0001	0.00019999	1.0
312411.0	0.0	1.0	1.0	7178.09	43842.2	0.0	51020.9	51020.3	0.667308	0.0159131	1.0	1.0001	0.0001	1.00005
312431.0	-1.0	2.0	3.0	12275.9	20018.7	0.0	32296.4	32294.6	1.75524	0.0661268	0.9999	1.0002	0.0003	1.00005
312434.0	0.0	1.0	1.0	160.776	981.04	1141.77	0.0	1141.82	-0.042143	-0.0449056	1.0	1.0001	0.0001	1.00005
312444.0	0.0	2.0	2.0	4885.11	3695.78	8580.73	0.0	8580.89	-0.159157	-0.0225665	1.0	1.0002	0.00020001	1.0001
312474.0	0.0	1.0	1.0	20762.8	130000.0	0.0	150765.0	150763.0	1.93329	0.0156018	1.0	1.0001	0.0001	1.00005
312568.0	0.0	1.0	1.0	49.0834	944.212	993.251	0.0	993.296	-0.044875	-0.0549664	1.0	1.0001	0.0001	1.00005
312593.0	1.0	2.0	1.0	3197.96	0.867789	3198.83	0.0	3198.83	-8.8e-05	-3.34706e-05	1.0001	1.0002	0.00010001	1.00015
312597.0	1.0	2.0	1.0	13165.5	317.378	13482.8	0.0	13482.8	-0.032109	-0.00289746	1.0001	1.0002	0.00010001	1.00015
312601.0	1.0	2.0	1.0	38074.1	917.846	38991.8	0.0	38991.9	-0.092856	-0.00289739	1.0001	1.0002	0.00010001	1.00015
312603.0	1.0	2.0	1.0	2928.54	70.5977	2999.13	0.0	2999.13	-0.007143	-0.00289772	1.0001	1.0002	0.00010001	1.00015
312605.0	1.0	2.0	1.0	1339.46	32.2902	1371.75	0.0	1371.75	-0.003267	-0.00289765	1.0001	1.0002	0.00010001	1.00015
312617.0	1.0	2.0	1.0	216611.0	41884.5	258490.0	0.0	258495.0	-4.65483	-0.0219091	1.0001	1.0002	0.00010001	1.00015
312637.0	1.0	2.0	1.0	47698.2	2496.65	50194.6	0.0	50194.8	-0.255848	-0.00620147	1.0001	1.0002	0.00010001	1.00015
312651.0	1.0	2.0	1.0	130531.0	31536.3	162064.0	0.0	162067.0	-3.46006	-0.0259753	1.0001	1.0002	0.00010001	1.00015
312671.0	1.0	3.0	2.0	1799.32	193.63	1992.93	0.0	1992.95	-0.021243	-0.0129685	1.0001	1.0003	0.00020003	1.0002
312681.0	1.0	2.0	1.0	3878.14	1051.43	4929.46	0.0	4929.57	-0.116343	-0.0287146	1.0001	1.0002	0.00010001	1.00015
312683.0	1.0	2.0	1.0	13649.8	3700.68	17350.1	0.0	17350.5	-0.409487	-0.0287144	1.0001	1.0002	0.00010001	1.00015
312692.0	1.0	2.0	1.0	12028.4	3500.15	15528.1	0.0	15528.5	-0.389611	-0.0305262	1.0001	1.0002	0.00010001	1.00015
312808.0	1.0	3.0	2.0	1988.85	312.843	2301.65	0.0	2301.69	-0.035533	-0.0187826	1.0001	1.0003	0.00020003	1.0002
312833.0	1.0	2.0	1.0	25028.0	10346.9	0.0	0.0	35374.9	-35374.9	-1216.67	1.0001	1.0002	0.00010001	1.00015
312844.0	1.0	2.0	1.0	32596.0	15404.0	47998.2	0.0	48000.0	-1.78735	-0.0453044	1.0001	1.0002	0.00010001	1.00015
312924.0	1.0	2.0	1.0	6.72257	3.27583	9.99802	0.0	9.9984	-0.000383	-0.0466058	1.0001	1.0002	0.00010001	1.00015
